Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
.,com.ViverBemApp.viverBem,PacienteTests,testaSeCadastraPaciente,Long Statement,The length of the statement "mockMvc.perform(post("http://localhost:8080/viverbem/salvar/paciente").contentType("application/json").content(objectMapper.writeValueAsString(paciente))).andExpect(status().is(302));" is 183.,31
.,com.ViverBemApp.viverBem,PacienteTests,testaSeCadastraPaciente,Magic Number,The method contains a magic number: 302,31
.,com.ViverBemApp.viverBem,MedicoTests,testaSeCadastraMedico,Long Statement,The length of the statement "mockMvc.perform(post("http://localhost:8080/viverbem/salvar/medico").contentType("application/json").content(objectMapper.writeValueAsString(medico))).andExpect(status().is(302));" is 179.,33
.,com.ViverBemApp.viverBem,MedicoTests,testaSeCadastraMedico,Magic Number,The method contains a magic number: 302,33
.,com.ViverBemApp.viverBem,ConsultaTests,testaSeCadastraConsulta,Long Statement,The length of the statement "mockMvc.perform(post("http://localhost:8080/viverbem/salvar/consulta").contentType("application/json").content(objectMapper.writeValueAsString(consulta))).andExpect(status().is(302));" is 183.,42
.,com.ViverBemApp.viverBem,ConsultaTests,testaSeCadastraConsulta,Magic Number,The method contains a magic number: 2012,42
.,com.ViverBemApp.viverBem,ConsultaTests,testaSeCadastraConsulta,Magic Number,The method contains a magic number: 10,42
.,com.ViverBemApp.viverBem,ConsultaTests,testaSeCadastraConsulta,Magic Number,The method contains a magic number: 8,42
.,com.ViverBemApp.viverBem,ConsultaTests,testaSeCadastraConsulta,Magic Number,The method contains a magic number: 302,42
.,com.ViverBemApp.viverBem.service,SendNotificationEmailService,sendNotificationEmail,Long Statement,The length of the statement "message.setText("Olá " + paciente.getNome() + "` sua consulta com o médico "+ consulta.getMedico().getNome()+ " foi agendada para "+ dataHoraConsulta+ ".");" is 156.,31
.,com.ViverBemApp.viverBem.domain,Consulta,equals,Long Statement,The length of the statement "return Objects.equals(codigo`consulta.codigo) && Objects.equals(data`consulta.data) && Objects.equals(hora`consulta.hora)&& Objects.equals(medico`consulta.medico)&& Objects.equals(paciente`consulta.paciente);" is 208.,86
.,com.ViverBemApp.viverBem.domain,Consulta,toString,Long Statement,The length of the statement "return "Consulta{" + "codigo=" + codigo + "` data='"+ data+ '\''+ "` hora='"+ hora+ '\''+ "` medico="+ medico+ "` paciente="+ paciente+ '}';" is 140.,99
.,com.ViverBemApp.viverBem.domain,Medico,equals,Long Statement,The length of the statement "return Objects.equals(codigo`medico.codigo) && Objects.equals(nome`medico.nome) && Objects.equals(telefone`medico.telefone)&& Objects.equals(especialidade`medico.especialidade);" is 177.,71
.,com.ViverBemApp.viverBem.domain,Medico,toString,Long Statement,The length of the statement "return "Medico{" + "codigo=" + codigo + "` nome='"+ nome+ '\''+ "` telefone='"+ telefone+ '\''+ "` especialidade='"+ especialidade+ '\''+ '}';" is 142.,84
.,com.ViverBemApp.viverBem.domain,Paciente,equals,Long Statement,The length of the statement "return Objects.equals(codigo`paciente.codigo) && Objects.equals(nome`paciente.nome) && Objects.equals(endereco`paciente.endereco)&& Objects.equals(telefone`paciente.telefone)&& Objects.equals(data_nascimento`paciente.data_nascimento);" is 234.,92
.,com.ViverBemApp.viverBem.domain,Paciente,toString,Long Statement,The length of the statement "return "Paciente{" + "codigo=" + codigo + "` nome='"+ nome+ '\''+ "` endereco='"+ endereco+ '\''+ "` telefone='"+ telefone+ '\''+ "` data_nascimento='"+ data_nascimento+ '\''+ '}';" is 180.,105
